0,1
Starbucks,"01/01/2023  This is by far my favorite location to go to and relax. I ordered my typical w White mocha and it was good. It just that for some reason there was sugar crystals inside my cup.  The seating outside is breathtaking and gorgeous, especially in the morning! The staff was so welcoming and friendly!  Overall, this is a nice spot to relax!  if you like for Thanks you for the nice experience ❣️"
Starbucks,This Starbucks is so wonderful! The workers were so friendly and helpful- I placed my order at the wrong store by accident and they made it for me again! Absolutely incredible. In the past when I’ve come here everything has been speedy and delicious as well.
Starbucks,"Standard Starbucks beverages. Great stop before the Alcatraz tour. Had to use the bathroom but like other businesses in the area, they’d rather you relieve yourself on the sidewalk than let you use their restroom."
Starbucks,Nice place to have a break before the Coit tower or after.
Starbucks,Hello! Thanks for taking the time to share this review. We appreciate you and look forward to having you back!
Starbucks,"The Shift Supervisor Nalinluck is amazing!!!! Great personality, great with customers. Im amazed shes not the manager!!! I met the actual manager and shes clueless and rude. Good drinks and great food. Thanks Nalinluck!!!"
Starbucks,Hello! Thanks for taking the time to share this review. We appreciate you and look forward to having you back!
Starbucks,"Friendly and helpful staff. Gets busy around 9 ish, no public restrooms."
Starbucks,The supervisor Nalinluck makes this store great. Her positive and uplifting personality makes everyone smile. She seems to know 99% of the people and takes the time to say hi and chit chat. She is the best.
Starbucks,1 Star 🌟 there is no rest room. …
Starbucks,Slowest place to get your coffee.  Lines move so slowly.  Order comes wrong.  In my case majority of time.  I ask for no foam but always there is foam -about an inch deep.  Aden was the only that had my order right. I'm not going back there ever.  Ordered six Croissants  to go.  Asked them not to heat it. They started to heat. Asked the manager place don't do it and just give me the ordered.  it took more five minutes to get that done.  each came in little bag.  The assistant asks me if I need a bag.  By than it is too late  for me.  Why not put it one bag initially.   I was not happy used the freaking service just sucks. Manger  comes out to talk to me.  Told her my history with this store. She told me not to talk to her employee that way. I really don't give a dam about it now.   I'm not going back there or any Starbucks.
Starbucks,"Good Starbucks for business nearby, just lacks a washroom."
Starbucks,There is always plenty of seats. However there is no restroom.
Starbucks,The coffee could be better. But it was good price.
Starbucks,"Hello! We're grateful that you shared this experience with us. If you're interested, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs) to share any additional feedback. Thank you!"
Starbucks,"Nice Starbucks experience, clean and not as busy as some other locations, great place to get work done and get exactly what you expect from a Starbucks."
Starbucks,"All the Homeless people are there, the queue for the toilet is longer than the queue to place an order. Nasty place with always nasty tables. Dont go there"
Starbucks,"Clean, cozy and easy place to sit outside to have a coffee. Unfortunately not open on Sundays and it's a hike to the next closest coffee shop"
Starbucks,"Hello! We're grateful that you shared this experience with us. If you're interested, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs) to share any additional feedback. Thank you!"
Starbucks,My favorite ⭐ Starbucks ✨ around SF 🤩!?!
Starbucks,"After 5 years, the customer service at this Starbucks is top notch. It’s even gotten better! When they make a mistake, they instantly give you a gift card and remake your drink. Super friendly staff and I’ve known most of them since I’ve lived here. When it’s open for inside dining, the atmosphere is homey and if you ask when you order ‘for here’, you can have your drink in a mug. Offering eco-friendly options is a plus and makes the Starbucks ambience even more home-like.  I can’t wait until they can open up again for inside dining and I can start having my matcha in a mug rather than paper cup.  For now, it’s still a friendly place to grab a matcha to go and a quick chat to brighten your day!"
Starbucks,"I go to Starbucks all over the world for working, and when I need to eat or get something to drink. This place had a nice location but I found the service was less than satisfactory. The person that took my order didn't even look at me, growled when I asked for a small/tall. When my latte came they basically threw it  on the shelf for me to retrieve.  I don't think it was anything personal, just they were in their own little world."
Starbucks,"Friendly staff, service was a little slow around 10am on a Monday which to me isn’t a typically busy time. No bathroom but nice seating area inside and out"
Starbucks,Useful if you have to work with your laptop. Nice and clean place. Good staff.
Starbucks,Courteous staff but terrible watery Americano. And please don’t give me two paper cups for each beverage I order. Starbucks claims to be sustainable!
Starbucks,"What should I tell about Starbucks... Not a top location to be wandering around, but on the way to Alcatraz it was the best to take a little pauze. Quality was fine and the staff more than okay! Well worth to hop in!"
Starbucks,Nice spacious Starbucks. No restrooms
Starbucks,"Good coffee but the waiting times are horrible, especially in the morning. Often times its faster to just stand in line than do a mobile order because the mobile order takes longer. I have to make my order in the bus on my way to the Starbucks and when I arrive I still have to wait 5-10 minutes for a cappuchino. A frappuchino takes even longer in the morning."
Starbucks,"The staff is rude and dismissive. Asking a simple, polite question will get you a dirty look. I understand that they deal with rude people during the day but that doesn’t mean they should be rude to every other paying customer as a result."
Starbucks,The staff turnover is just annoying. Seems like this venue is used to train staff as far too often you see new faces. I paid for a cold brew only to find out 10-min later (only when I inquired) that the reason they hadn't served my coffee yet was that they had run out of cold brew. This is just ... Terrible operationally
Starbucks,This location get's 100% of all ordered Iced Tea Latte wrong at any given time. My last three never had milk in them when I arrived to pick them up. Today a colleague ordered one and he too didn't get any milk. Two stars for the fact that this is otherwise a seemingly functioning Starbucks location.
Starbucks,"Ordered a mocha frappuchino which I assumed was going to taste like a mocha, instead it tasted like a chocolate milk with an extra dose of diabetes. The cup landed in the bin before I made it out of the store. Almost threw up my 1st sip."
Starbucks,The one who serve me a coffee and chicken capress gave me the coffee like giving me free of cost with attitude and I ask for the milk and sugar but didn’t provided. But I got from another lady.
Starbucks,"I give them two stars because I don't truly believe they deserve lower than that. For the most part, the staff is friendly, and their drink accuracy is about 60/40 in their favor. That said, it's highly unlikely that I'll be visiting this location again, even despite their convenience to my place of work.  When ordering my drink this afternoon, a passion tea with apple juice, something I order every day...I requested it also be sweetened. The conversation that followed is my aversion to going back. Barista: umm, okay, you want that sweetened? Me: yes please Barista: okay, well you know the apple juice is already sweetened Me: yes I am aware... Barista: and you want more sugar? Me: that's correct Barista: okay so you want extra cane sugar in it...  That's when I walked out.  As a customer, having to repeat my order, multiple times, is aggrevating, yes, but I can put up with that. It's when the tone of your voice is degrading and judgemental to me, the customer; because, yes, I do want MORE sugar in my drink. Forget it, I'll take my business and my money elsewhere thanks.  I know that nothing will be done over this post, nor do I expect it. But, hey, Starbucks, as a former employee, maybe you should stop hiring people who don't give a damn; Who take attitude with your customers.  Thanks for saving me roughly $10 a day!"
Starbucks,"Incredibly slow service, gave the cashier the amount due and he asked me count it for him, ordered a pink drink and only half an inche if liquid was added the rest was ice and water because the container ran empty."
Starbucks,"Garbage Starbucks. Maybe the manager should learn how to brew a drip coffee, have some brewed and ready to go. Pouring it as it’s brewing is not how it should be done. Starbucks standards must be falling."
Starbucks,"Friendly staff, but no bathroom - reserved for employees only."
Starbucks,Two times they messed up my chai latte. First time there was no sugar and then second time she put something in replacement of sugar that I didn't ask. even though I put a couple pouches of sugar I didn't get the taste that I usually to get.
Starbucks,"Not the friendliest staff, odd atmosphere, smelt like moldy mop.  Would’ve gone somewhere else, but this was the only coffee shop open in the area."
Starbucks,"The atmosphere in here is so weird. It felt like the staff were distracted by something. No eye contact, no please or thank you. Very odd."
Starbucks,"Like any regular Starbucks. Long but quick moving lines, serving the regular menu. Not a fan of the wireless charging pads"
Starbucks,"Very busy Starbucks down near the piers. They were out of dark roast, this minus 1 star. No public restrooms, so minus another star."
Starbucks,"Decent store, conveniently located at the bottom of Telegraph Hill / Coit Tower.  Unfortunately no restrooms can be found here."
Starbucks,It's nice that this Starbucks actually has a lobby attendant for all of the mobile orders very helpful!
Starbucks,"Staff don't let costumers use the bathroom, saying that is out of service all the time? So that means that the employees never use it? 🤔 …"
Starbucks,"Picked up a white chocolate Grande with soy milk, very cordial people thanks guys. Friendly family atmosphere."
Starbucks,"The WHOLE point of going to a Starbucks is being able to use the restroom, well, this Starbucks has none."
Starbucks,Good safety protocol and allowed everyone space. The coffee was the standard Sbux.
Starbucks,Place is so hot! Staff couldn’t care less. All the guest were either sweating or just walking out. Sad!
Starbucks,Slowest store. Have waited 30 minutes in the morning and even 15 in the afternoon with an empty store. Drinks are usually made incorrectly and with poor quality.
Starbucks,Lovely place. But they do not have a restroom though
Starbucks,Friendley staff and correct Star Buckd coffee
Starbucks,One of the slowest SB I have been at. Had to leave before my order was ready just to make it on time for a meeting...
Starbucks,No bathroom or electrical outlets. Sucks.
Starbucks,"Cool location, big and roomy unlike most other SB. Staff was friendly and accommodating"
Starbucks,Very chill on Monday 30 mins  before closing (MLK Holiday). Kind employees.
Starbucks,No restrooms
Starbucks,"Very clean well organized, socially distant pandemic-adapted service."
Starbucks,"Excellent coffee and Cold drinks, and is also at my work side 🤩 …"
Starbucks,It has not restroom.
Starbucks,"Hello, I'm sorry to hear about this but appreciate you for sharing your experience. If you'd like additional assistance from our team, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs)!"
Starbucks,Busy venue... Street view literally... Nothing interesting atmosphere wise... They made my drink wrong and when I said something I just got ignored...
Starbucks,Best place to get your coffee boost. Long but fast moving lines
Starbucks,Good service but can get crowded at certain times like the morning since it's in a busy work area.
Starbucks,"Wireless recharge on table, 4 on each table. Great for slow charge."
Starbucks,"There made my drinks wrong so I asked for a new one, then they became super rude, and made my drink with most milk."
Starbucks,Fabulous coffee as always.  Clean friendly and relaxing !
Starbucks,"Good, large Starbucks. Clean and friendly staff. Good Wifi."
Starbucks,Great Starbucks.  Friendly staff. Wonderful location @levisplaza
Starbucks,"Crowded and inconvinient, unless you have all the time in the world, not even restrooms available"
Starbucks,"This is nice Starbucks, variety of food, there is very nice park just around the corner"
Starbucks,Good service and a cute location to grab a coffee and sit in the park
Starbucks,Fairly long lines a 10:30. Only one person taking orders
Starbucks,"Too crowded, they need more people in the morning, it takes half an hour to get your hands on the order"
Starbucks,"Friendly staff, super quick, and super clean facility."
Starbucks,Don't care for Starbucks. They are everywhere. No more comments
Starbucks,Fantastic place....but no dark roast on the weekend
Starbucks,If you need a Starbucks coffee boost this is a good spot with good street views.
Starbucks,"It's a perfectly normal Starbucks. Support a local coffee shop instead, if you can."
Starbucks,"What else can I say, good coffee."
Starbucks,I love the option of healthy snacks!
Starbucks,Good customer service.  No restrooms?😒 …
Starbucks,The Starbucks accompanies with Hult students.
Starbucks,Love them so much! Coming every day;)
Starbucks,Great location. Plenty of seating and a patio.
Starbucks,Slowest service I have ever experienced in a Starbucks!
Starbucks,"Quick service, very friendly and helpful staff"
Starbucks,All cups with a lid on it were 3/4 full only
Starbucks,"Well, it's coffee"
Starbucks,Consistently good - warm and inviting - predictable
Starbucks,Relaxed atmosphere not crazy busy
Starbucks,Good 👍 …
Starbucks,You will never disappointed with coffee.
Starbucks,Nice spacious Starbucks with good Wifi
Starbucks,Consistently mediocre. The service was great
Starbucks,"Good Expresso... Always busy, at this location."
Starbucks,Had to wait for ages because the baristas are really slow
Starbucks,Kind of Impersonal but they are fast and efficient!
Starbucks,typical starbucks but no bathroom inside
Starbucks,Busy store.  Patience May be required
Starbucks,Perfect ! But no restroom
Starbucks,Staff was pleasnt and order was spot on.
Starbucks,Standard Starbucks but pretty much always crowded
Starbucks,Long wait even for mobile or online orders.
Starbucks,A very nice Starbucks with beautiful decoration
Starbucks,as great as any other Starbucks
Starbucks,It's a Starbucks. The coffee is hot
Starbucks,It's my place sort of a place away from home.
Starbucks,Busy Starbucks service was good though
Starbucks,Unfortunately there is no restroom.
Starbucks,Basic Starbucks but no restroom
Starbucks,Excellent Staff & Service.
Starbucks,There are wayyyyy to many white girls here
Starbucks,It's Starbucks you know what you're going to get
Starbucks,Always there when you need coffee
Starbucks,Regular Starbucks close to Levi's plaza
Starbucks,Great staff.
Starbucks,Noisy..busy..dirty..rude
Starbucks,Good place
Starbucks,Quite comfortable place.
Starbucks,Friendly baristas and good coffee
Starbucks,No restroom service!
Starbucks,There are not restrooms
Starbucks,great place...location
Starbucks,Perfect when you need it.
Starbucks,Good place to hangout!!
Starbucks,Good as any Starbucks.
Starbucks,Great for take a coffe
