name,rating,address,description,openclose
Capital One Café,4.3(193) · $,101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Cafe Francisco,4.4(443) · $,2161 Powell St,Mediterranean & American eats plus art,Open ⋅ Closes 3 PM
Caffe Greco,"4.5(1,191) · $$",423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 12 AM
Saint Frank Coffee,"4.5(1,059) · $$",2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
Caffe Trieste,"4.5(1,327) · $",601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Cafe de Casa,4.7(913) · $,2701 Leavenworth St,"Brazilian coffee, pastry & lunch shop",Open ⋅ Closes 2 PM
BeanStalk Cafe,4.5(591) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM
Beacon Coffee & Pantry,4.3(403) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Open ⋅ Closes 2 PM
Caffe Bianco,4.6(165) · $,39 Sutter St,Classic coffee shop with sandwiches,Open ⋅ Closes 2:30 PM
Hollywood Cafe,"4.5(2,153) · $$",530 North Point St,Cinema-themed cafe,Open ⋅ Closes 2 PM
Mazarine Coffee,"4.5(1,514) · $$",720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
Pat's Cafe,"4.5(1,324) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 2 PM
Caffe Capriccio,4.6(235) · $,2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
The Coffee Movement,4.8(732) · $,1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
Taylor Street Coffee Shop,"4.6(1,508) · $$",375 Taylor St,Cozy option for breakfast & lunch,Closes soon ⋅ 1 PM ⋅ Opens 8 AM Sat
Home Coffee Roasters,4.7(344) · $,455 Grant Ave,Open ⋅ Closes 4 PM,
Cafe La Tazita,4.3(433),470 Post St,No-frills breakfast & lunch venue,Open ⋅ Closes 2:30 PM
Fueling Station Cafe,4.6(213) · $,2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
Darren's Café,4.5(698) · $$,2731 Taylor St,Asian/American breakfast & lunch eats,Closes soon ⋅ 1:30 PM ⋅ Opens 7:30 AM Sat
Goody Cafe,4.4(76),"Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Caffe Central,4.3(651) · $$,133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM
Goody Cafe,4.4(76),"Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Cafe Isabella,4.6(190) · $,1414 Taylor St,Cozy coffee shop & breakfast spot,Open ⋅ Closes 3 PM
Cafe Franco,4.8(45),240 Funston Rd,Open ⋅ Closes 3 PM,
Fresh Brew Coffee,4.8(494) · $,882 Bush St,"Cozy, American-Vietnamese sandwich spot",Open ⋅ Closes 3 PM
Sightglass Coffee,"4.5(2,844) · $$",270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Le Cafe du Soleil,4.6(540) · $,400 Waller St,French bistro with sidewalk seating,Open ⋅ Closes 5 PM
Cavalli Cafe,4.5(265) · $,1441 Stockton St,Espresso bar with Italian treats & music,Open ⋅ Closes 11:30 PM
The Mill,"4.5(1,771) · $$",736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
Cafe Le,4.7(69),2895 Van Ness Ave,Open ⋅ Closes 2:30 PM,
Another Cafe,4.4(456) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Müesi Cafe,4.5(123),2055 Union St Suite B,Open ⋅ Closes 5:30 PM,
Honey Honey Cafe & Crepery,"4.3(3,396) · $$",599 Post St,Sweet & savory crêpe specialist,Open ⋅ Closes 3 PM
Lafayette Coffee Shop,4.2(206) · $,611 Larkin St,Open ⋅ Closes 9 PM,
Cafe Me,4.6(134) · $,500 Washington St #102,Daytime stop for coffee & sandwiches,Closed ⋅ Opens 5:30 AM Mon
Cafe Réveille,4.1(161),1998 Polk St,Open ⋅ Closes 7:30 PM,
Wrecking Ball Coffee Roasters,4.4(511) · $$,2271 Union St,House-roasted coffee blends & pastries,Open ⋅ Closes 2 PM
Biscoff Coffee Corner,4.3(729) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
The Crêpe Café,4.2(549) · $$,333 Jefferson St UNIT 5A,Chill spot for sweet & savory crepes,Open ⋅ Closes 9 PM
Mymy,"4.5(1,615) · $$",1500 California St,Bright corner spot for big breakfasts,Open ⋅ Closes 2 PM
Cafe Encore,4.2(141) · $$,488 Post St,Open ⋅ Closes 7 PM,
Foundation Cafe,4.4(159) · $$,335 Kearny St,Quick stop for sustainable American eats,Open ⋅ Closes 3 PM
Cozy Cafe,4.7(127) · $,965 Sutter St C,Open ⋅ Closes 2 PM,
Bluestone Lane Union Square Coffee Shop,4.2(348) · $$,685 Market St,Airy spot for coffee & all-day eats,Open ⋅ Closes 2 PM
Stable Cafe,4.6(840) · $$,2128 Folsom St,Coffeehouse in former carriage house,Open ⋅ Closes 3 PM
Il Canto Cafe,4.7(283) · $,475 Sacramento St,Mellow option with coffee & light fare,Open ⋅ Closes 4 PM
Rose's Cafe,4.4(831) · $$,2298 Union St,Relaxed Italian cafe with a terrace,Open ⋅ Closes 9 PM
Mo'z Cafe,"4.2(1,166) · $$",36 5th St,Neighborhood cafe known for breakfast,Open ⋅ Closes 2 PM
Jackson Place Café,4.6(75) · $,633 Battery St,Breakfast & lunch kiosk with a courtyard,Closed ⋅ Opens 8:30 AM Tue
Angel Cafe & Deli,4.6(231) · $,700 Geary St,Simple locale for breakfast & lunch fare,Open ⋅ Closes 2 PM
Red Bay Coffee Ferry Building,4.0(174),"1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Cafe International,4.5(404) · $,508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM
Sextant Coffee Roasters,4.5(600) · $$,1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
First Cup Café,4.4(51),2911 Van Ness Ave,Open ⋅ Closes 4 PM,
Sammy's Cafe,4.6(129) · $,1416 Bush St,Homey breakfast & sandwich establishment,Open ⋅ Closes 3 PM
